ISO3,Country / Territory,Year,Event Name,Date of Event (start),Disaster Internal Displacements,Hazard Category,Hazard Type,Hazard Sub Type
PHL,Philippines,2020,"Philippines: flash flood - cagayan valley, car - 25/10/2020",2020-10-25,4900,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: storm - south cotabato (surallah) - 11/08/2020,2020-08-11,20,Weather related,Storm,Storm
PHL,Philippines,2020,Philippines: risk of landslides - cebu (cebu city) - october 2020,2020-10-14,760,Weather related,Wet mass movement,"Landslide, avalanche"
PHL,Philippines,2020,Philippines: flooding - cebu - 04/10/2020,2020-10-04,800,Weather related,Flood,Flood
PHL,Philippines,2020,"Philippines: flash flood and landlside - davao region (davao de oro, davao del norte, davao oriental) - 18/12/2020",2020-12-18,2100,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: earthquake - bicol (masbate) - 18/08/2020,2020-08-18,1400,Geophysical,Earthquake,Earthquake
PHL,Philippines,2020,"Philippines: flash flood - zamboanga del sur, zamboanga del norte - 17/10/2020",2020-10-17,8,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: flash flood - north cotabato (kabacan) - 14/10/2020,2020-10-14,4300,Weather related,Flood,Flash flood
PHL,Philippines,2020,"Philippines: tropical depression krovanh (""vicky "" phl) - davao, caraga - 18/12/2020",2020-12-18,93000,Weather related,Storm,"Storm, storm surge"
PHL,Philippines,2020,Philippines: flash flood - south cotabato (koronadal) - 28/07/2020,2020-07-28,900,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: typhoon vongfong (ambo) - 9 regions - 10/05/2020,2020-05-10,298000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2020,"Philippines, viet nam: typhoon molave (quinta (phl), storm 9 (vnm)) -  23/10/2020",2020-10-23,623000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2020,"Philippines, viet nam: typhoon vamco (ulysses in phl) - 08/11/2020",2020-11-08,1560000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2020,"Philippines, vietnam: typhoon goni (rolly phl, typhoon no.10 vnm) - countrywide (phl), south central coast (vnm) - 26/10/2020",2020-10-26,1250000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2020,Philippines: flash flood - central visayas (cebu) - 13/10/2020,2020-10-13,250,Weather related,Flood,Flash flood
PHL,Philippines,2020,"Philippines: storm (north east monsoon) - western visaya (aklan, new washington) - 30/11/2020",2020-11-30,75,Weather related,Storm,Storm
PHL,Philippines,2020,"Philippines: northeast monsoon enhanced by tropical depression “vicky” - cagayan valley (cagayan, isabella, quirino) - 20/12/2020 ",2020-12-20,11000,Weather related,Storm,Storm
PHL,Philippines,2020,Philippines: soil erosion - lanao del sur (marawi city) - 2020 ,2020-08-09,4400,Weather related,Wet mass movement,Wet mass movement
PHL,Philippines,2020,Philippines: flash flood - basilan (lamitan) - 15/10/2020,2020-10-15,8,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: flash flood - davao del sur (davao city) -19/10/2020,2020-10-19,4100,Weather related,Flood,Flash flood
PHL,Philippines,2020,"Philippines: tail-end of a frontal system (shear line)  - cagayan valley (cagayan, isabela, quirino) - 28/11/2020",2020-11-28,1100,Weather related,Storm,Storm
PHL,Philippines,2020,"Philippines: tropical depression ofel - calabarzon, bicol, central visayas - 13/10/2020",2020-10-13,6400,Weather related,Storm,"Storm, convective"
PHL,Philippines,2020,Philippines: flash flood - zamboanga (zamboanga city) - 15/09/2020,2020-09-15,270,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: flash flood - sultan kudarat (palimbang) - 15/09/2020 ,2020-09-15,2100,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: flash flood - zamboanga - 09/08/2020,2020-08-09,170,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: flooding incident in cebu province due to lpa - 02/12/2020,2020-12-02,11000,Weather related,Flood,Flood
PHL,Philippines,2020,Philippines: flash flood - davao (davao de oro) - 13/08/2020,2020-08-13,1600,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: flash flood - davao del sur (davao city) - 04/08/2020,2020-08-04,930,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: flood - culasi (antique) - 15/09/2020,2020-09-15,30,Weather related,Flood,Flood
PHL,Philippines,2020,Philippines: tornado - pangasinan (bayambang) - 27/04/2020,2020-04-27,100,Weather related,Storm,Tornado
PHL,Philippines,2020,Philippines: tornado - pangasinan (basista) - 14/05/2020,2020-05-14,50,Weather related,Storm,Tornado
PHL,Philippines,2020,Philippines: tornado - sultan kudarat (president quirino) - 07/06/2020,2020-06-07,130,Weather related,Storm,Tornado
PHL,Philippines,2020,Philippines: tornado - bulacan (pulilan) - 06/07/2020,2020-07-06,25,Weather related,Storm,Tornado
PHL,Philippines,2020,Philippines: tornado - car (ifugao) - 14/05/2020,2020-05-14,8,Weather related,Storm,Tornado
