Year,Factor,Value
1903,Flaring CO2,0.0
1903,Other Industry CO2,0.0
1904,Cement CO2,3e-06
1904,Coal CO2,2.1666640000000004
1904,Gas CO2,0.015165
1904,Oil CO2,0.096083
1904,Flaring CO2,0.0
1904,Other Industry CO2,0.0018340000000000001
1905,Cement CO2,4e-06
1905,Coal CO2,2.311143
1905,Gas CO2,0.01717
1905,Oil CO2,0.09701699999999999
1905,Flaring CO2,0.0
1905,Other Industry CO2,0.00198
1906,Cement CO2,4e-06
1906,Coal CO2,2.415683
1906,Gas CO2,0.019027000000000002
1906,Oil CO2,0.097893
1906,Flaring CO2,0.0
1906,Other Industry CO2,0.002127
1907,Cement CO2,5e-06
1907,Coal CO2,2.746956
1907,Gas CO2,0.019877
1907,Oil CO2,0.119416
1907,Flaring CO2,0.0
1907,Other Industry CO2,0.002054
1908,Cement CO2,0.000115
1908,Coal CO2,2.62602
1908,Gas CO2,0.019676
1908,Oil CO2,0.12875899999999998
1908,Flaring CO2,0.0
1908,Other Industry CO2,0.0018340000000000001
1909,Cement CO2,0.000116
1909,Coal CO2,2.730134
1909,Gas CO2,0.023523
1909,Oil CO2,0.134349
1909,Flaring CO2,0.0
1909,Other Industry CO2,0.002347
1910,Cement CO2,0.000135
1910,Coal CO2,2.862583
1910,Gas CO2,0.024915
1910,Oil CO2,0.143839
1910,Flaring CO2,0.0
1910,Other Industry CO2,0.002347
1911,Cement CO2,0.000148
1911,Coal CO2,2.898529
1911,Gas CO2,0.025718
1911,Oil CO2,0.152546
1911,Flaring CO2,0.0
1911,Other Industry CO2,0.002274
1912,Cement CO2,0.000177
1912,Coal CO2,3.04794
1912,Gas CO2,0.028315
1912,Oil CO2,0.15675899999999998
1912,Flaring CO2,0.0
1912,Other Industry CO2,0.002347
1913,Cement CO2,0.000203
1913,Coal CO2,3.2920700000000003
1913,Gas CO2,0.029598
1913,Oil CO2,0.181575
1913,Flaring CO2,0.0
1913,Other Industry CO2,0.002421
1914,Cement CO2,0.000147
1914,Coal CO2,2.961773
1914,Gas CO2,0.030136
1914,Oil CO2,0.185583
1914,Flaring CO2,0.0
1914,Other Industry CO2,0.002274
1915,Cement CO2,0.00016
1915,Coal CO2,2.9028270000000003
1915,Gas CO2,0.031866
1915,Oil CO2,0.197104
1915,Flaring CO2,0.0
1915,Other Industry CO2,0.002421
1916,Cement CO2,0.00018099999999999998
1916,Coal CO2,3.129373
1916,Gas CO2,0.038377
1916,Oil CO2,0.21463200000000002
1916,Flaring CO2,0.0
1916,Other Industry CO2,0.002714
1917,Cement CO2,0.000148
1917,Coal CO2,3.257893
1917,Gas CO2,0.040509
1917,Oil CO2,0.238808
1917,Flaring CO2,0.0
1917,Other Industry CO2,0.002494
1918,Cement CO2,0.00011999999999999999
1918,Coal CO2,3.209469
1918,Gas CO2,0.036518999999999996
1918,Oil CO2,0.244605
1918,Flaring CO2,0.0
1918,Other Industry CO2,0.002127
1919,Cement CO2,0.000125
1919,Coal CO2,2.715321
1919,Gas CO2,0.037948
1919,Oil CO2,0.272966
1919,Flaring CO2,0.0
1919,Other Industry CO2,0.0022010000000000003
1920,Cement CO2,0.000149
1920,Coal CO2,3.1259270000000003
1920,Gas CO2,0.041685
1920,Oil CO2,0.350954
1920,Flaring CO2,0.0
1920,Other Industry CO2,0.002347
1921,Cement CO2,0.00013000000000000002
1921,Coal CO2,2.668397
1921,Gas CO2,0.034991999999999995
1921,Oil CO2,0.384258
1921,Flaring CO2,0.0
1921,Other Industry CO2,0.0016870000000000001
1922,Cement CO2,0.000193
1922,Coal CO2,2.77067
1922,Gas CO2,0.040107
1922,Oil CO2,0.42634500000000003
1922,Flaring CO2,0.0
1922,Other Industry CO2,0.002421
1923,Cement CO2,0.000208
1923,Coal CO2,3.146423
1923,Gas CO2,0.052526
1923,Oil CO2,0.473527
1923,Flaring CO2,0.0
1923,Other Industry CO2,0.002714
1924,Cement CO2,0.000216
1924,Coal CO2,3.152649
1924,Gas CO2,0.059709000000000005
1924,Oil CO2,0.470812
1924,Flaring CO2,0.0
1924,Other Industry CO2,0.002714
1925,Cement CO2,0.014429
1925,Coal CO2,3.151418
1925,Gas CO2,0.06392199999999999
1925,Oil CO2,0.492787
1925,Flaring CO2,0.0
1925,Other Industry CO2,0.003081
1926,Cement CO2,0.01474
1926,Coal CO2,3.081757
1926,Gas CO2,0.06914400000000001
1926,Oil CO2,0.49064800000000003
1926,Flaring CO2,0.0
1926,Other Industry CO2,0.003007
1927,Cement CO2,0.015448
1927,Coal CO2,3.361539
1927,Gas CO2,0.076017
1927,Oil CO2,0.5378160000000001
1927,Flaring CO2,0.0
1927,Other Industry CO2,0.002934
1928,Cement CO2,0.035616
1928,Coal CO2,3.3053589999999997
1928,Gas CO2,0.082623
1928,Oil CO2,0.549539
1928,Flaring CO2,0.0
1928,Other Industry CO2,0.002934
1929,Cement CO2,0.036872999999999996
1929,Coal CO2,3.5222510000000002
1929,Gas CO2,0.102894
1929,Oil CO2,0.602778
1929,Flaring CO2,0.0
1929,Other Industry CO2,0.0028610000000000003
1930,Cement CO2,0.035561
1930,Coal CO2,3.214073
1930,Gas CO2,0.104224
1930,Oil CO2,0.578598
1930,Flaring CO2,0.0
1930,Other Industry CO2,0.002274
1931,Cement CO2,0.030931
1931,Coal CO2,2.83054
1931,Gas CO2,0.092887
1931,Oil CO2,0.560749
1931,Flaring CO2,0.0
1931,Other Industry CO2,0.0018340000000000001
1932,Cement CO2,0.024721
1932,Coal CO2,2.519949
1932,Gas CO2,0.088218
1932,Oil CO2,0.536592
1932,Flaring CO2,0.0
1932,Other Industry CO2,0.00132
1933,Cement CO2,0.023866
1933,Coal CO2,2.635637
1933,Gas CO2,0.090917
1933,Oil CO2,0.586389
1933,Flaring CO2,0.0
1933,Other Industry CO2,0.0015400000000000001
1934,Cement CO2,0.028542
1934,Coal CO2,2.878248
1934,Gas CO2,0.101949
1934,Oil CO2,0.620413
1934,Flaring CO2,0.0
1934,Other Industry CO2,0.0016140000000000002
1935,Cement CO2,0.03209
1935,Coal CO2,2.9968850000000002
1935,Gas CO2,0.111372
1935,Oil CO2,0.668785
1935,Flaring CO2,0.0
1935,Other Industry CO2,0.00198
1936,Cement CO2,0.038763
1936,Coal CO2,3.285172
1936,Gas CO2,0.125529
1936,Oil CO2,0.729131
1936,Flaring CO2,0.0
1936,Other Industry CO2,0.002494
1937,Cement CO2,0.040829
1937,Coal CO2,3.463736
1937,Gas CO2,0.140574
1937,Oil CO2,0.8215159999999999
1937,Flaring CO2,0.0
1937,Other Industry CO2,0.002714
1938,Cement CO2,0.038551
1938,Coal CO2,3.228046
1938,Gas CO2,0.135493
1938,Oil CO2,0.7969890000000001
1938,Flaring CO2,0.0
1938,Other Industry CO2,0.0022010000000000003
1939,Cement CO2,0.035686999999999997
1939,Coal CO2,3.435326
1939,Gas CO2,0.141328
1939,Oil CO2,0.830241
1939,Flaring CO2,0.0
1939,Other Industry CO2,0.0028610000000000003
1940,Cement CO2,0.031431
1940,Coal CO2,3.7940169999999998
1940,Gas CO2,0.15351499999999998
1940,Oil CO2,0.872467
1940,Flaring CO2,0.0
1940,Other Industry CO2,0.003227
1941,Cement CO2,0.043293
1941,Coal CO2,3.884161
1941,Gas CO2,0.153463
1941,Oil CO2,0.880697
1941,Flaring CO2,0.0
1941,Other Industry CO2,0.004033999999999999
1942,Cement CO2,0.038376
1942,Coal CO2,3.909448
1942,Gas CO2,0.166049
1942,Oil CO2,0.835716
1942,Flaring CO2,0.0
1942,Other Industry CO2,0.004033999999999999
1943,Cement CO2,0.03481
1943,Coal CO2,3.9250390000000004
1943,Gas CO2,0.1829
1943,Oil CO2,0.8880009999999999
1943,Flaring CO2,0.0
1943,Other Industry CO2,0.004328
1944,Cement CO2,0.022664
1944,Coal CO2,3.867923
1944,Gas CO2,0.197601
1944,Oil CO2,1.018141
1944,Flaring CO2,0.0
1944,Other Industry CO2,0.004328
1945,Cement CO2,0.022991
1945,Coal CO2,2.9982699999999998
1945,Gas CO2,0.216697
1945,Oil CO2,1.008345
1945,Flaring CO2,0.0
1945,Other Industry CO2,0.003961
1946,Cement CO2,0.03633
1946,Coal CO2,3.234314
1946,Gas CO2,0.223834
1946,Oil CO2,1.139899
1946,Flaring CO2,0.0
1946,Other Industry CO2,0.003961
1947,Cement CO2,0.043192
1947,Coal CO2,3.6215479999999998
1947,Gas CO2,0.247888
1947,Oil CO2,1.221313
1947,Flaring CO2,0.0
1947,Other Industry CO2,0.004548
1948,Cement CO2,0.051684
1948,Coal CO2,3.739455
1948,Gas CO2,0.28012200000000004
1948,Oil CO2,1.339607
1948,Flaring CO2,0.0
1948,Other Industry CO2,0.004841
1949,Cement CO2,0.058264
1949,Coal CO2,3.54631
1949,Gas CO2,0.300454
1949,Oil CO2,1.336641
1949,Flaring CO2,0.0
1949,Other Industry CO2,0.004181
1950,Cement CO2,0.066979
1950,Coal CO2,3.856215
1950,Gas CO2,0.353156
1950,Oil CO2,1.64831
1950,Flaring CO2,0.073624
1950,Other Industry CO2,0.004988
1951,Cement CO2,0.075839
1951,Coal CO2,4.06004
1951,Gas CO2,0.416186
1951,Oil CO2,1.742354
1951,Flaring CO2,0.079875
1951,Other Industry CO2,0.005501000000000001
1952,Cement CO2,0.080841
1952,Coal CO2,4.009059000000001
1952,Gas CO2,0.44708499999999995
1952,Oil CO2,1.8380239999999999
1952,Flaring CO2,0.08536400000000001
1952,Other Industry CO2,0.005355
1953,Cement CO2,0.089628
1953,Coal CO2,4.043705
1953,Gas CO2,0.474527
1953,Oil CO2,1.9521
1953,Flaring CO2,0.081348
1953,Other Industry CO2,0.006455
1954,Cement CO2,0.097231
1954,Coal CO2,4.039512
1954,Gas CO2,0.5013500000000001
1954,Oil CO2,2.068543
1954,Flaring CO2,0.077612
1954,Other Industry CO2,0.005721
1955,Cement CO2,0.10756600000000001
1955,Coal CO2,4.372781
1955,Gas CO2,0.5472290000000001
1955,Oil CO2,2.311864
1955,Flaring CO2,0.096836
1955,Other Industry CO2,0.006968
1956,Cement CO2,0.11662399999999999
1956,Coal CO2,4.597137
1956,Gas CO2,0.587229
1956,Oil CO2,2.5080479999999996
1956,Flaring CO2,0.108174
1956,Other Industry CO2,0.007042
1957,Cement CO2,0.12261
1957,Coal CO2,4.681798
1957,Gas CO2,0.6466660000000001
1957,Oil CO2,2.621266
1957,Flaring CO2,0.106386
1957,Other Industry CO2,0.006822
1958,Cement CO2,0.129775
1958,Coal CO2,4.754382
1958,Gas CO2,0.705825
1958,Oil CO2,2.726365
1958,Flaring CO2,0.09511499999999999
1958,Other Industry CO2,0.006161
1959,Cement CO2,0.14533600000000002
1959,Coal CO2,4.948027
1959,Gas CO2,0.758226
1959,Oil CO2,2.904649
1959,Flaring CO2,0.091694
1959,Other Industry CO2,0.008289
1960,Cement CO2,0.157493
1960,Coal CO2,5.152558
1960,Gas CO2,0.834527
1960,Oil CO2,3.126444
1960,Flaring CO2,0.08914
1960,Other Industry CO2,0.027507
1961,Cement CO2,0.164229
1961,Coal CO2,4.943283999999999
1961,Gas CO2,0.882007
1961,Oil CO2,3.3135030000000003
1961,Flaring CO2,0.086218
1961,Other Industry CO2,0.029219000000000002
1962,Cement CO2,0.17644300000000002
1962,Coal CO2,4.9287849999999995
1962,Gas CO2,0.967683
1962,Oil CO2,3.56194
1962,Flaring CO2,0.085931
1962,Other Industry CO2,0.030277000000000002
1963,Cement CO2,0.18606
1963,Coal CO2,5.109542
1963,Gas CO2,1.046822
1963,Oil CO2,3.806973
1963,Flaring CO2,0.090506
1963,Other Industry CO2,0.031751
1964,Cement CO2,0.20622
1964,Coal CO2,5.21519
1964,Gas CO2,1.15286
1964,Oil CO2,4.107569000000001
1964,Flaring CO2,0.112792
1964,Other Industry CO2,0.03498
1965,Cement CO2,0.21649000000000002
1965,Coal CO2,5.2932179999999995
1965,Gas CO2,1.230538
1965,Oil CO2,4.412375
1965,Flaring CO2,0.130443
1965,Other Industry CO2,0.03453199999999999
1966,Cement CO2,0.233053
1966,Coal CO2,5.351301
1966,Gas CO2,1.339839
1966,Oil CO2,4.761953
1966,Flaring CO2,0.144566
1966,Other Industry CO2,0.036220999999999996
1967,Cement CO2,0.23990799999999998
1967,Coal CO2,5.266113000000001
1967,Gas CO2,1.4329459999999998
1967,Oil CO2,5.07708
1967,Flaring CO2,0.19078299999999998
1967,Other Industry CO2,0.037200000000000004
1968,Cement CO2,0.255398
1968,Coal CO2,5.323236
1968,Gas CO2,1.5595709999999998
1968,Oil CO2,5.530292
1968,Flaring CO2,0.2038
1968,Other Industry CO2,0.038593
1969,Cement CO2,0.270791
1969,Coal CO2,5.521839
1969,Gas CO2,1.708518
1969,Oil CO2,5.980509
1969,Flaring CO2,0.244035
1969,Other Industry CO2,0.041707999999999995
1970,Cement CO2,0.28841100000000003
1970,Coal CO2,5.696270999999999
1970,Gas CO2,1.7906790000000001
1970,Oil CO2,6.801259
1970,Flaring CO2,0.277745
1970,Other Industry CO2,0.04435
1971,Cement CO2,0.30334500000000003
1971,Coal CO2,5.699823
1971,Gas CO2,1.933313
1971,Oil CO2,7.202926000000001
1971,Flaring CO2,0.321427
1971,Other Industry CO2,0.044661
1972,Cement CO2,0.321547
1972,Coal CO2,5.693585
1972,Gas CO2,2.052041
1972,Oil CO2,7.766614
1972,Flaring CO2,0.34687
1972,Other Industry CO2,0.048072000000000004
1973,Cement CO2,0.340512
1973,Coal CO2,5.862085
1973,Gas CO2,2.20389
1973,Oil CO2,8.225938
1973,Flaring CO2,0.402142
1973,Other Industry CO2,0.051627
1974,Cement CO2,0.34103300000000003
1974,Coal CO2,5.865810000000001
1974,Gas CO2,2.2589989999999998
1974,Oil CO2,8.107899
1974,Flaring CO2,0.391347
1974,Other Industry CO2,0.052388
1975,Cement CO2,0.339117
1975,Coal CO2,6.037091
1975,Gas CO2,2.2555430000000003
1975,Oil CO2,8.039023
1975,Flaring CO2,0.336685
1975,Other Industry CO2,0.047168999999999996
1976,Cement CO2,0.354146
1976,Coal CO2,6.263989
1976,Gas CO2,2.38685
1976,Oil CO2,8.541493000000001
1976,Flaring CO2,0.395391
1976,Other Industry CO2,0.050017000000000006
1977,Cement CO2,0.370868
1977,Coal CO2,6.417698000000001
1977,Gas CO2,2.441085
1977,Oil CO2,8.84206
1977,Flaring CO2,0.381443
1977,Other Industry CO2,0.049692
1978,Cement CO2,0.394692
1978,Coal CO2,6.531792
1978,Gas CO2,2.5503460000000002
1978,Oil CO2,9.159137000000001
1978,Flaring CO2,0.39015
1978,Other Industry CO2,0.051076
1979,Cement CO2,0.399877
1979,Coal CO2,6.840287
1979,Gas CO2,2.6889969999999996
1979,Oil CO2,9.276707
1979,Flaring CO2,0.36013
1979,Other Industry CO2,0.052464
1980,Cement CO2,0.40262
1980,Coal CO2,7.024129
1980,Gas CO2,2.758101
1980,Oil CO2,8.951775
1980,Flaring CO2,0.316436
1980,Other Industry CO2,0.048201999999999995
1981,Cement CO2,0.402748
1981,Coal CO2,7.0048829999999995
1981,Gas CO2,2.794347
1981,Oil CO2,8.550305
1981,Flaring CO2,0.237163
1981,Other Industry CO2,0.046672
1982,Cement CO2,0.400937
1982,Coal CO2,7.126512
1982,Gas CO2,2.7312730000000003
1982,Oil CO2,8.345175999999999
1982,Flaring CO2,0.23557499999999998
1982,Other Industry CO2,0.045013
1983,Cement CO2,0.409877
1983,Coal CO2,7.31419
1983,Gas CO2,2.760542
1983,Oil CO2,8.260815000000001
1983,Flaring CO2,0.212847
1983,Other Industry CO2,0.048269
1984,Cement CO2,0.417703
1984,Coal CO2,7.668797
1984,Gas CO2,3.010426
1984,Oil CO2,8.328841
1984,Flaring CO2,0.186751
1984,Other Industry CO2,0.052236
1985,Cement CO2,0.422772
1985,Coal CO2,8.217823000000001
1985,Gas CO2,3.1214009999999996
1985,Oil CO2,8.326771
1985,Flaring CO2,0.181447
1985,Other Industry CO2,0.055272
1986,Cement CO2,0.440349
1986,Coal CO2,8.335814000000001
1986,Gas CO2,3.045544
1986,Oil CO2,8.576334000000001
1986,Flaring CO2,0.169668
1986,Other Industry CO2,0.059649
1987,Cement CO2,0.459192
1987,Coal CO2,8.617361
1987,Gas CO2,3.30528
1987,Oil CO2,8.654658999999999
1987,Flaring CO2,0.163007
1987,Other Industry CO2,0.074406
1988,Cement CO2,0.48360899999999996
1988,Coal CO2,8.910819
1988,Gas CO2,3.4660219999999997
1988,Oil CO2,8.972672000000001
1988,Flaring CO2,0.18550899999999998
1988,Other Industry CO2,0.08916299999999999
1989,Cement CO2,0.4935
1989,Coal CO2,8.909616
1989,Gas CO2,3.639817
1989,Oil CO2,9.13008
1989,Flaring CO2,0.15068
1989,Other Industry CO2,0.08670900000000001
1990,Cement CO2,0.49385399999999996
1990,Coal CO2,8.688659
1990,Gas CO2,3.8331329999999997
1990,Oil CO2,9.249362
1990,Flaring CO2,0.26785899999999996
1990,Other Industry CO2,0.22461099999999998
1991,Cement CO2,0.507751
1991,Coal CO2,8.604035
1991,Gas CO2,3.9096770000000003
1991,Oil CO2,9.72343
1991,Flaring CO2,0.28296499999999997
1991,Other Industry CO2,0.216948
1992,Cement CO2,0.528942
1992,Coal CO2,8.399007
1992,Gas CO2,3.95812
1992,Oil CO2,9.226139
1992,Flaring CO2,0.250482
1992,Other Industry CO2,0.217334
1993,Cement CO2,0.5515119999999999
1993,Coal CO2,8.500946
1993,Gas CO2,4.067061
1993,Oil CO2,9.232772
1993,Flaring CO2,0.24405600000000002
1993,Other Industry CO2,0.216552
1994,Cement CO2,0.588461
1994,Coal CO2,8.548629
1994,Gas CO2,4.1020829999999995
1994,Oil CO2,9.265657
1994,Flaring CO2,0.248054
1994,Other Industry CO2,0.216615
1995,Cement CO2,0.622443
1995,Coal CO2,8.793981
1995,Gas CO2,4.209968
1995,Oil CO2,9.363845999999999
1995,Flaring CO2,0.244935
1995,Other Industry CO2,0.22354
1996,Cement CO2,0.635312
1996,Coal CO2,9.015794
1996,Gas CO2,4.395992000000001
1996,Oil CO2,9.643209
1996,Flaring CO2,0.247175
1996,Other Industry CO2,0.22190100000000001
1997,Cement CO2,0.6612319999999999
1997,Coal CO2,8.967540000000001
1997,Gas CO2,4.412478
1997,Oil CO2,9.78686
1997,Flaring CO2,0.250794
1997,Other Industry CO2,0.223678
1998,Cement CO2,0.658611
1998,Coal CO2,8.725984
1998,Gas CO2,4.484475000000001
1998,Oil CO2,9.883467000000001
1998,Flaring CO2,0.24025200000000002
1998,Other Industry CO2,0.22047
1999,Cement CO2,0.69101
1999,Coal CO2,8.855188
1999,Gas CO2,4.621802
1999,Oil CO2,10.112427
1999,Flaring CO2,0.23274799999999998
1999,Other Industry CO2,0.219213
2000,Cement CO2,0.721927
2000,Coal CO2,9.203117
2000,Gas CO2,4.731291000000001
2000,Oil CO2,10.302091
2000,Flaring CO2,0.278928
2000,Other Industry CO2,0.216267
2001,Cement CO2,0.754332
2001,Coal CO2,9.255257
2001,Gas CO2,4.773585
2001,Oil CO2,10.390668999999999
2001,Flaring CO2,0.281128
2001,Other Industry CO2,0.213078
2002,Cement CO2,0.796052
2002,Coal CO2,9.678959
2002,Gas CO2,4.905854000000001
2002,Oil CO2,10.385864
2002,Flaring CO2,0.298554
2002,Other Industry CO2,0.215754
2003,Cement CO2,0.852253
2003,Coal CO2,10.518464
2003,Gas CO2,5.081468
2003,Oil CO2,10.679654000000001
2003,Flaring CO2,0.299376
2003,Other Industry CO2,0.220382
2004,Cement CO2,0.910566
2004,Coal CO2,10.871584
2004,Gas CO2,5.25719
2004,Oil CO2,11.042504999999998
2004,Flaring CO2,0.323803
2004,Other Industry CO2,0.231047
2005,Cement CO2,0.964306
2005,Coal CO2,11.543334999999999
2005,Gas CO2,5.380666
2005,Oil CO2,11.139399
2005,Flaring CO2,0.345094
2005,Other Industry CO2,0.241802
2006,Cement CO2,1.0516690000000002
2006,Coal CO2,12.18884
2006,Gas CO2,5.5068090000000005
2006,Oil CO2,11.246321
2006,Flaring CO2,0.34686
2006,Other Industry CO2,0.252617
2007,Cement CO2,1.129389
2007,Coal CO2,12.77636
2007,Gas CO2,5.694134
2007,Oil CO2,11.283665000000001
2007,Flaring CO2,0.363985
2007,Other Industry CO2,0.259255
2008,Cement CO2,1.1437380000000001
2008,Coal CO2,13.192797
2008,Gas CO2,5.864291000000001
2008,Oil CO2,11.251325000000001
2008,Flaring CO2,0.374074
2008,Other Industry CO2,0.259611
2009,Cement CO2,1.17573
2009,Coal CO2,13.016428
2009,Gas CO2,5.751954
2009,Oil CO2,10.996948
2009,Flaring CO2,0.37940199999999996
2009,Other Industry CO2,0.243568
2010,Cement CO2,1.254878
2010,Coal CO2,13.926620999999999
2010,Gas CO2,6.195344
2010,Oil CO2,11.359883
2010,Flaring CO2,0.38165
2010,Other Industry CO2,0.245971
2011,Cement CO2,1.3497999999999999
2011,Coal CO2,14.737126
2011,Gas CO2,6.366902
2011,Oil CO2,11.388086
2011,Flaring CO2,0.37028
2011,Other Industry CO2,0.27481900000000004
2012,Cement CO2,1.3845699999999999
2012,Coal CO2,14.92276
2012,Gas CO2,6.500594
2012,Oil CO2,11.541707
2012,Flaring CO2,0.380351
2012,Other Industry CO2,0.276285
2013,Cement CO2,1.444086
2013,Coal CO2,15.024486000000001
2013,Gas CO2,6.542527
2013,Oil CO2,11.626445
2013,Flaring CO2,0.387535
2013,Other Industry CO2,0.29412099999999997
2014,Cement CO2,1.4999120000000001
2014,Coal CO2,15.051513000000002
2014,Gas CO2,6.654555
2014,Oil CO2,11.678782
2014,Flaring CO2,0.38790199999999997
2014,Other Industry CO2,0.30487000000000003
2015,Cement CO2,1.4444359999999998
2015,Coal CO2,14.710087999999999
2015,Gas CO2,6.788074
2015,Oil CO2,11.929665000000002
2015,Flaring CO2,0.383534
2015,Other Industry CO2,0.302769
2016,Cement CO2,1.487617
2016,Coal CO2,14.360605
2016,Gas CO2,6.973649
2016,Oil CO2,12.023833
2016,Flaring CO2,0.37838499999999997
2016,Other Industry CO2,0.300104
2017,Cement CO2,1.507923
2017,Coal CO2,14.506974
2017,Gas CO2,7.144928
2017,Oil CO2,12.242628
2017,Flaring CO2,0.391992
2017,Other Industry CO2,0.302294
2018,Cement CO2,1.569218
2018,Coal CO2,14.746831
2018,Gas CO2,7.529847
2018,Oil CO2,12.266017
2018,Flaring CO2,0.412116
2018,Other Industry CO2,0.302479
2019,Cement CO2,1.617507
2019,Coal CO2,14.725978
2019,Gas CO2,7.647528
2019,Oil CO2,12.345653
2019,Flaring CO2,0.43925400000000003
2019,Other Industry CO2,0.306639
2020,Cement CO2,1.637537
2020,Coal CO2,14.174564
2020,Gas CO2,7.55629
2020,Oil CO2,11.191809
2020,Flaring CO2,0.407584
2020,Other Industry CO2,0.296302
2021,Cement CO2,1.672592
2021,Coal CO2,14.979598
2021,Gas CO2,7.92183
2021,Oil CO2,11.837159
2021,Flaring CO2,0.416526
2021,Other Industry CO2,0.296146
