Year,Factor,Value
1762,Oil CO2,0.0
1762,Flaring CO2,0.0
1762,Other Industry CO2,0.0
1763,Cement CO2,0.0
1763,Coal CO2,0.010981
1763,Gas CO2,0.0
1763,Oil CO2,0.0
1763,Flaring CO2,0.0
1763,Other Industry CO2,0.0
1764,Cement CO2,0.0
1764,Coal CO2,0.010985
1764,Gas CO2,0.0
1764,Oil CO2,0.0
1764,Flaring CO2,0.0
1764,Other Industry CO2,0.0
1765,Cement CO2,0.0
1765,Coal CO2,0.010988
1765,Gas CO2,0.0
1765,Oil CO2,0.0
1765,Flaring CO2,0.0
1765,Other Industry CO2,0.0
1766,Cement CO2,0.0
1766,Coal CO2,0.01226
1766,Gas CO2,0.0
1766,Oil CO2,0.0
1766,Flaring CO2,0.0
1766,Other Industry CO2,0.0
1767,Cement CO2,0.0
1767,Coal CO2,0.012263
1767,Gas CO2,0.0
1767,Oil CO2,0.0
1767,Flaring CO2,0.0
1767,Other Industry CO2,0.0
1768,Cement CO2,0.0
1768,Coal CO2,0.012267
1768,Gas CO2,0.0
1768,Oil CO2,0.0
1768,Flaring CO2,0.0
1768,Other Industry CO2,0.0
1769,Cement CO2,0.0
1769,Coal CO2,0.012271
1769,Gas CO2,0.0
1769,Oil CO2,0.0
1769,Flaring CO2,0.0
1769,Other Industry CO2,0.0
1770,Cement CO2,0.0
1770,Coal CO2,0.012273999999999998
1770,Gas CO2,0.0
1770,Oil CO2,0.0
1770,Flaring CO2,0.0
1770,Other Industry CO2,0.0
1771,Cement CO2,0.0
1771,Coal CO2,0.013612
1771,Gas CO2,0.0
1771,Oil CO2,0.0
1771,Flaring CO2,0.0
1771,Other Industry CO2,0.0
1772,Cement CO2,0.0
1772,Coal CO2,0.013615
1772,Gas CO2,0.0
1772,Oil CO2,0.0
1772,Flaring CO2,0.0
1772,Other Industry CO2,0.0
1773,Cement CO2,0.0
1773,Coal CO2,0.013619
1773,Gas CO2,0.0
1773,Oil CO2,0.0
1773,Flaring CO2,0.0
1773,Other Industry CO2,0.0
1774,Cement CO2,0.0
1774,Coal CO2,0.013623
1774,Gas CO2,0.0
1774,Oil CO2,0.0
1774,Flaring CO2,0.0
1774,Other Industry CO2,0.0
1775,Cement CO2,0.0
1775,Coal CO2,0.013626
1775,Gas CO2,0.0
1775,Oil CO2,0.0
1775,Flaring CO2,0.0
1775,Other Industry CO2,0.0
1776,Cement CO2,0.0
1776,Coal CO2,0.015037
1776,Gas CO2,0.0
1776,Oil CO2,0.0
1776,Flaring CO2,0.0
1776,Other Industry CO2,0.0
1777,Cement CO2,0.0
1777,Coal CO2,0.015041
1777,Gas CO2,0.0
1777,Oil CO2,0.0
1777,Flaring CO2,0.0
1777,Other Industry CO2,0.0
1778,Cement CO2,0.0
1778,Coal CO2,0.015044
1778,Gas CO2,0.0
1778,Oil CO2,0.0
1778,Flaring CO2,0.0
1778,Other Industry CO2,0.0
1779,Cement CO2,0.0
1779,Coal CO2,0.015048
1779,Gas CO2,0.0
1779,Oil CO2,0.0
1779,Flaring CO2,0.0
1779,Other Industry CO2,0.0
1780,Cement CO2,0.0
1780,Coal CO2,0.015054999999999999
1780,Gas CO2,0.0
1780,Oil CO2,0.0
1780,Flaring CO2,0.0
1780,Other Industry CO2,0.0
1781,Cement CO2,0.0
1781,Coal CO2,0.016843
1781,Gas CO2,0.0
1781,Oil CO2,0.0
1781,Flaring CO2,0.0
1781,Other Industry CO2,0.0
1782,Cement CO2,0.0
1782,Coal CO2,0.016847
1782,Gas CO2,0.0
1782,Oil CO2,0.0
1782,Flaring CO2,0.0
1782,Other Industry CO2,0.0
1783,Cement CO2,0.0
1783,Coal CO2,0.016854
1783,Gas CO2,0.0
1783,Oil CO2,0.0
1783,Flaring CO2,0.0
1783,Other Industry CO2,0.0
1784,Cement CO2,0.0
1784,Coal CO2,0.016858
1784,Gas CO2,0.0
1784,Oil CO2,0.0
1784,Flaring CO2,0.0
1784,Other Industry CO2,0.0
1785,Cement CO2,0.0
1785,Coal CO2,0.016869
1785,Gas CO2,0.0
1785,Oil CO2,0.0
1785,Flaring CO2,0.0
1785,Other Industry CO2,0.0
1786,Cement CO2,0.0
1786,Coal CO2,0.019152000000000002
1786,Gas CO2,0.0
1786,Oil CO2,0.0
1786,Flaring CO2,0.0
1786,Other Industry CO2,0.0
1787,Cement CO2,0.0
1787,Coal CO2,0.019159
1787,Gas CO2,0.0
1787,Oil CO2,0.0
1787,Flaring CO2,0.0
1787,Other Industry CO2,0.0
1788,Cement CO2,0.0
1788,Coal CO2,0.019163
1788,Gas CO2,0.0
1788,Oil CO2,0.0
1788,Flaring CO2,0.0
